sig_id,cell_iname,donor_sex,pert_idose,pert_itime
ABY001_A549_XH:BRD-K81418486:10:3,A549,M,10 uM,3 h
LTC008_MDAMB231_3H:BRD-K81418486:10,MDAMB231,F,10 uM,3 h
RAD001_MCF7_24H:BRD-K81418486-001-18-6:10,MCF7,F,10 uM,24 h
RAD001_MCF7_24H:BRD-K81418486-001-18-6:3.3333,MCF7,F,3.33 uM,24 h
RAD001_PC3_6H:BRD-K81418486-001-18-6:0.1235,PC3,M,0.125 uM,6 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.0015,MCF7,F,0.002 uM,6 h
HOG003_A549_24H:BRD-K81418486-001-32-7:1.11,A549,M,1.11 uM,24 h
POL001_PC3_24H:O01,PC3,M,10 uM,24 h
HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.3704,MCF7,F,0.37 uM,6 h
DTAK001_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.0412,MCF7,F,0.04 uM,24 h
MOA001_U2OS_24H:P11,U2OS,F,1.11 uM,24 h
DOSBIO002_A549_24H:BRD-K81418486:1.11111,A549,M,1.11 uM,24 h
HOG003_A549_24H:BRD-K81418486-001-32-7:0.0015,A549,M,0.002 uM,24 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:1.25,PC3,M,1.25 uM,24 h
POL001_HT29_24H:O05,HT29,F,0.125 uM,24 h
DEB001_PC3_24H:BRD-K81418486-001-24-4:0.2,PC3,M,0.2 uM,24 h
DOSBIO002_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
POL001_MCF7_24H:O06,MCF7,F,0.04 uM,24 h
HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.00488281,PC3,M,0.004 uM,6 h
LTC005_MDAMB231_3H:BRD-K81418486:0.12346,MDAMB231,F,0.125 uM,3 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:0.1235,PC3,M,0.125 uM,24 h
LTC008_MDAMB231_24H:BRD-K81418486:1.1111,MDAMB231,F,1.11 uM,24 h
TAA001_SKNSH_24H:C19,SKNSH,F,10 uM,24 h
POL001_HEPG2_24H:O03,HEPG2,M,1.11 uM,24 h
POL001_JURKAT_24H:O03,JURKAT,M,1.11 uM,24 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:3.3333,PC3,M,3.33 uM,24 h
HDAC002_MCF7_6H:BRD-K81418486-001-10-3:10,MCF7,F,10 uM,6 h
MOA001_U2OS_24H:O11,U2OS,F,10 uM,24 h
HOG001_A549_24H:BRD-K81418486-001-32-7:10,A549,M,10 uM,24 h
MET001_MCF7_XH:BRD-K81418486:10:6,MCF7,F,10 uM,6 h
HDAC002_PC3_24H:BRD-K81418486-001-24-4:10,PC3,M,10 uM,24 h
ABY001_A549_XH:BRD-K81418486:0.625:24,A549,M,0.66 uM,24 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.3704,MCF7,F,0.37 uM,6 h
DEB001_PC3_6H:BRD-K81418486-001-24-4:5,PC3,M,4 uM,6 h
KMS002_NOMO1_24H:B11,NOMO1,F,10 uM,24 h
HOG002_A549_24H:BRD-K81418486-001-32-7:10,A549,M,10 uM,24 h
HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.0015,MCF7,F,0.002 uM,6 h
DOSBIO002_HT29_24H:BRD-K81418486:3.33333,HT29,F,3.33 uM,24 h
LPROT005_MCF10A_6H:BRD-K81418486:1,MCF10A,F,1.11 uM,6 h
TAA001_SKNSH_24H:N14,SKNSH,F,3.33 uM,24 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.0012207,MCF7,F,0.001 uM,24 h
LCP001_MCF10A.PIK3CA.HH_24H:N23,MCF10A,F,3.33 uM,24 h
DOSBIO001_MCF7_24H:BRD-K81418486:3.33333,MCF7,F,3.33 uM,24 h
HDAC002_PC3_6H:BRD-K81418486-001-10-3:2.5,PC3,M,2.5 uM,6 h
RAD001_HCC515_6H:BRD-K81418486-001-18-6:10,HCC515,F,10 uM,6 h
LPROT003_A375_6H:BRD-K81418486:1,A375,F,1.11 uM,6 h
BRAF001_A375_6H:BRD-K81418486-001-15-2:10,A375,F,10 uM,6 h
CPD001_MCF7_6H:B04,MCF7,F,10 uM,6 h
DEB001_MCF7_24H:BRD-K81418486-001-24-4:5,MCF7,F,4 uM,24 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:0.0046,PC3,M,0.004 uM,24 h
HOG001_MCF7_6H:BRD-K81418486-001-32-7:0.0412,MCF7,F,0.04 uM,6 h
DEB001_PC3_24H:BRD-K81418486-001-24-4:10,PC3,M,10 uM,24 h
ABY001_HT29_XH:BRD-K81418486:0.625:24,HT29,F,0.66 uM,24 h
BRAF001_A375_6H:BRD-K81418486-001-15-2:0.15625,A375,F,0.125 uM,6 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.078125,MCF7,F,0.08 uM,24 h
HOG001_A549_6H:BRD-K81418486-001-32-7:0.013,A549,M,0.01 uM,6 h
HDAC002_MCF7_6H:BRD-K81418486-001-10-3:2.5,MCF7,F,2.5 uM,6 h
HOG001_A549_6H:BRD-K81418486-001-32-7:3.33,A549,M,3.33 uM,6 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.00244141,PC3,M,0.002 uM,24 h
RAD001_PC3_6H:BRD-K81418486-001-18-6:0.0046,PC3,M,0.004 uM,6 h
HOG002_MCF7_24H:BRD-K81418486-001-32-7:0.013,MCF7,F,0.01 uM,24 h
PCL001_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
POL001_HEPG2_24H:O04,HEPG2,M,0.37 uM,24 h
KMS002_NOMO1_24H:B07,NOMO1,F,10 uM,24 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.0137,MCF7,F,0.01 uM,6 h
TAA001_SKNSH_24H:C22,SKNSH,F,0.37 uM,24 h
KMS002_NOMO1_24H:B09,NOMO1,F,10 uM,24 h
HOG003_A549_24H:BRD-K81418486-001-32-7:0.0412,A549,M,0.04 uM,24 h
ABY001_A375_XH:BRD-K81418486:10:24,A375,F,10 uM,24 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:10,MCF7,F,10 uM,24 h
HOG003_A549_6H:BRD-K81418486-001-32-7:1.11,A549,M,1.11 uM,6 h
RAD001_HCC515_6H:BRD-K81418486-001-18-6:0.0015,HCC515,F,0.002 uM,6 h
ABY001_NCIH1975_XH:BRD-K81418486:10:24,NCIH1975,F,10 uM,24 h
TAA001_SKNSH_24H:N15,SKNSH,F,1.11 uM,24 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.0046,MCF7,F,0.004 uM,6 h
POL001_HEPG2_24H:O02,HEPG2,M,3.33 uM,24 h
DEB001_PC3_6H:BRD-K81418486-001-24-4:1,PC3,M,1.11 uM,6 h
ABY001_A549_XH:BRD-K81418486:10:24,A549,M,10 uM,24 h
ABY001_HT29_XH:BRD-K81418486:2.5:3,HT29,F,2.5 uM,3 h
LTC007_MDAMB231_24H:BRD-K81418486:10,MDAMB231,F,10 uM,24 h
RAD001_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
LCP001_MCF10A.WT_6H:N22,MCF10A,F,10 uM,6 h
HOG001_MCF7_24H:BRD-K81418486-001-32-7:0.013,MCF7,F,0.01 uM,24 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.0390625,MCF7,F,0.04 uM,24 h
ABY001_HT29_XH:BRD-K81418486:10:3,HT29,F,10 uM,3 h
HOG001_A549_24H:BRD-K81418486-001-32-7:3.33,A549,M,3.33 uM,24 h
LCP001_MCF10A.WT_12H:N24,MCF10A,F,1.11 uM,12 h
LTC007_MDAMB231_3H:BRD-K81418486:10,MDAMB231,F,10 uM,3 h
LTC008_MDAMB231_3H:BRD-K81418486:0.12346,MDAMB231,F,0.125 uM,3 h
PRISM001_A375_24H:BRD-K81418486:10,A375,F,10 uM,24 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:3.3333,MCF7,F,3.33 uM,6 h
HOG001_MCF7_6H:BRD-K81418486-001-32-7:0.3704,MCF7,F,0.37 uM,6 h
HOG001_A549_6H:BRD-K81418486-001-32-7:0.0412,A549,M,0.04 uM,6 h
HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.15625,PC3,M,0.125 uM,6 h
HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.00976562,PC3,M,0.01 uM,6 h
LCP001_MCF10A.KRAS.HG_24H:N23,MCF10A,F,3.33 uM,24 h
DTAK002_VCAP_24H:BRD-K81418486:10,VCAP,M,10 uM,24 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.00488281,PC3,M,0.004 uM,24 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:0.3704,PC3,M,0.37 uM,24 h
