drug,n_sigs,n_strong_de,category,best_tissue,best_fold,best_p,drug_lineages
selumetinib,952,60,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
vorinostat,2641,270,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|autonomic_ganglia|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
tozasertib,854,2,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
NVP-BEZ235,754,67,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
fostamatinib,735,0,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
bortezomib,7300,2948,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|placenta|haematopoietic_and_lymphoid_tissue
olaparib,681,0,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|autonomic_ganglia|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
BI-2536,806,181,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|autonomic_ganglia|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
ABT-737,537,2,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|autonomic_ganglia|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
troglitazone,820,19,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
NVP-AUY922,435,181,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
calcitriol,512,6,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
AS-605240,572,2,A,Liver,28.42,0.024712269531926574,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
vemurafenib,757,16,C,,,,bone|large_intestine|soft_tissue|breast|upper_aerodigestive_tract|central_nervous_system|endometrium|ovary|lung|cervix|skin|kidney|stomach|urinary_tract|pancreas|prostate|liver|haematopoietic_and_lymphoid_tissue
