drug,lineage,tissue,sex_direction,category,NES,FDR,n_sigs
selumetinib,large_intestine,Minor_Salivary_Gland,Female,B,-1.8601792806708035,0.005,45
selumetinib,large_intestine,Breast_Mammary_Tissue,Female,B,-1.7143607710771727,0.005,45
selumetinib,large_intestine,Whole_Blood,Female,B,1.655421743256147,0.005,45
selumetinib,large_intestine,Kidney_Cortex,Female,B,-1.5535968476039717,0.005,45
selumetinib,large_intestine,Cells_EBV.transformed_lymphocytes,Female,B,-1.4798392785991512,0.005,45
selumetinib,large_intestine,Small_Intestine_Terminal_Ileum,Female,B,-1.461118331320839,0.005,45
selumetinib,large_intestine,Liver,Female,B,1.4546517016872667,0.007297519528573386,45
selumetinib,large_intestine,Esophagus_Mucosa,Female,B,-1.4529878844562634,0.005,45
selumetinib,large_intestine,Kidney_Cortex,Male,B,1.4404138047596837,0.01135169704444749,45
selumetinib,large_intestine,Pituitary,Male,B,1.4362893572818776,0.008513772783335618,45
selumetinib,large_intestine,Thyroid,Female,B,-1.4085857504915045,0.005,45
selumetinib,large_intestine,Minor_Salivary_Gland,Male,B,1.4020830854239852,0.014595039057146772,45
selumetinib,large_intestine,Liver,Male,B,1.3942227905220965,0.013784203553971952,45
selumetinib,large_intestine,Breast_Mammary_Tissue,Male,B,1.3903145911470327,0.014595039057146774,45
selumetinib,large_intestine,Lung,Male,B,1.3811086625626523,0.013986912429765658,45
selumetinib,large_intestine,Artery_Tibial,Male,B,1.3730926768447915,0.01513559605926332,45
selumetinib,large_intestine,Artery_Aorta,Male,B,1.3593099804092819,0.017514046868576126,45
selumetinib,large_intestine,Brain_Amygdala,Female,B,1.3579041083864782,0.01592186078961466,45
selumetinib,large_intestine,Artery_Coronary,Male,B,1.354886085014656,0.016622127815083827,45
selumetinib,large_intestine,Colon_Transverse,Male,A,1.348579020633856,0.01758889322271534,45
selumetinib,large_intestine,Colon_Transverse,Female,A,-1.34720691216759,0.005,45
selumetinib,large_intestine,Muscle_Skeletal,Male,B,1.3366696350312097,0.018765050216331566,45
selumetinib,large_intestine,Brain_Frontal_Cortex_BA9,Female,B,1.326653951478695,0.02075738888127541,45
selumetinib,large_intestine,Colon_Sigmoid,Male,A,1.3165392243840826,0.024629128408935178,45
selumetinib,large_intestine,Small_Intestine_Terminal_Ileum,Male,B,1.315901029918908,0.02403888785882998,45
selumetinib,large_intestine,Colon_Sigmoid,Female,A,-1.3100235921963082,0.01193908479337621,45
selumetinib,large_intestine,Spleen,Female,B,1.3048156695214634,0.026757571604769083,45
selumetinib,large_intestine,Adrenal_Gland,Male,B,1.2950796985858126,0.029702184747877648,45
selumetinib,large_intestine,Brain_Cortex,Female,B,1.295034824959791,0.02821707551048376,45
