drug,Cat_A_home,Cat_B_cross,Cat_C_tested_no_hit,Cat_D_not_tested,n_lineages,n_hits,total
bortezomib,1,30,101,704,19,31,836
emetine,0,31,52,665,17,31,748
YM-155,0,16,64,712,18,16,792
NVP-BEZ235,0,1,5,830,19,1,836
mitoxantrone,0,1,83,796,20,1,880
ABT-737,0,0,0,836,19,0,836
ABT-751,0,0,0,748,17,0,748
AG-14361,0,0,0,748,17,0,748
AM-580,0,0,0,748,17,0,748
AS-605240,0,0,0,792,18,0,792
AZ-628,0,0,0,880,20,0,880
AZD-8055,0,0,0,704,16,0,704
BI-2536,0,0,1,835,19,0,836
BRD-K61033289,0,0,0,748,17,0,748
DL-PDMP,0,0,0,748,17,0,748
KU-0063794,0,0,0,748,17,0,748
NVP-AUY922,0,0,0,748,17,0,748
PI-103,0,0,0,792,18,0,792
PJ-34,0,0,0,748,17,0,748
RITA,0,0,0,748,17,0,748
TW-37,0,0,21,727,17,0,748
afatinib,0,0,0,836,19,0,836
atorvastatin,0,0,0,792,18,0,792
barasertib-HQPA,0,0,0,792,18,0,792
calcitriol,0,0,0,792,18,0,792
crizotinib,0,0,0,836,19,0,836
dasatinib,0,0,0,880,20,0,880
erlotinib,0,0,0,836,19,0,836
fostamatinib,0,0,0,836,19,0,836
gefitinib,0,0,0,836,19,0,836
idarubicin,0,0,51,697,17,0,748
imatinib,0,0,0,836,19,0,836
ixazomib,0,0,42,750,18,0,792
lapatinib,0,0,0,836,19,0,836
masitinib,0,0,0,880,20,0,880
nutlin-3,0,0,0,792,18,0,792
olaparib,0,0,0,836,19,0,836
parbendazole,0,0,0,748,17,0,748
rucaparib,0,0,0,836,19,0,836
selumetinib,0,0,38,798,19,0,836
serdemetan,0,0,0,792,18,0,792
simvastatin,0,0,0,792,18,0,792
temozolomide,0,0,0,792,18,0,792
thalidomide,0,0,0,748,17,0,748
thioridazine,0,0,0,792,18,0,792
tozasertib,0,0,0,836,19,0,836
trifluoperazine,0,0,0,792,18,0,792
troglitazone,0,0,0,792,18,0,792
vemurafenib,0,0,0,792,18,0,792
vorinostat,0,0,82,798,20,0,880
