drug,lineage,n_M,n_F,skip_reason,n_A,n_B,n_C,n_D,passes_5M5F,analysed,n_hits
ABT-737,autonomic_ganglia,0,1,few_M_or_F,0,0,0,44,False,False,0
ABT-737,bone,1,3,few_M_or_F,0,0,0,44,False,False,0
ABT-737,breast,0,10,few_M_or_F,0,0,0,44,False,False,0
ABT-737,central_nervous_system,3,0,few_M_or_F,0,0,0,44,False,False,0
ABT-737,cervix,0,1,few_M_or_F,0,0,0,44,False,False,0
ABT-737,endometrium,0,7,few_M_or_F,0,0,0,44,False,False,0
ABT-737,haematopoietic_and_lymphoid_tissue,6,1,few_M_or_F,0,0,0,44,False,False,0
ABT-737,kidney,1,1,few_M_or_F,0,0,0,44,False,False,0
ABT-737,large_intestine,8,5,gsea_empty,0,0,0,44,True,False,0
ABT-737,liver,3,0,few_M_or_F,0,0,0,44,False,False,0
ABT-737,lung,13,9,gsea_empty,0,0,0,44,True,False,0
ABT-737,ovary,0,13,few_M_or_F,0,0,0,44,False,False,0
ABT-737,pancreas,1,0,few_M_or_F,0,0,0,44,False,False,0
ABT-737,prostate,4,0,few_M_or_F,0,0,0,44,False,False,0
ABT-737,skin,3,4,few_M_or_F,0,0,0,44,False,False,0
ABT-737,soft_tissue,1,1,few_M_or_F,0,0,0,44,False,False,0
ABT-737,stomach,1,2,few_M_or_F,0,0,0,44,False,False,0
ABT-737,upper_aerodigestive_tract,1,0,few_M_or_F,0,0,0,44,False,False,0
ABT-737,urinary_tract,0,2,few_M_or_F,0,0,0,44,False,False,0
ABT-751,bone,1,3,few_M_or_F,0,0,0,44,False,False,0
ABT-751,breast,0,6,few_M_or_F,0,0,0,44,False,False,0
ABT-751,central_nervous_system,3,0,few_M_or_F,0,0,0,44,False,False,0
ABT-751,endometrium,0,7,few_M_or_F,0,0,0,44,False,False,0
ABT-751,haematopoietic_and_lymphoid_tissue,5,1,few_M_or_F,0,0,0,44,False,False,0
ABT-751,kidney,1,0,few_M_or_F,0,0,0,44,False,False,0
ABT-751,large_intestine,8,5,gsea_empty,0,0,0,44,True,False,0
ABT-751,liver,3,0,few_M_or_F,0,0,0,44,False,False,0
ABT-751,lung,13,6,gsea_empty,0,0,0,44,True,False,0
ABT-751,ovary,0,13,few_M_or_F,0,0,0,44,False,False,0
ABT-751,pancreas,1,0,few_M_or_F,0,0,0,44,False,False,0
ABT-751,prostate,4,0,few_M_or_F,0,0,0,44,False,False,0
ABT-751,skin,3,4,few_M_or_F,0,0,0,44,False,False,0
ABT-751,soft_tissue,1,1,few_M_or_F,0,0,0,44,False,False,0
ABT-751,stomach,1,2,few_M_or_F,0,0,0,44,False,False,0
ABT-751,upper_aerodigestive_tract,1,0,few_M_or_F,0,0,0,44,False,False,0
ABT-751,urinary_tract,0,2,few_M_or_F,0,0,0,44,False,False,0
AG-14361,bone,1,3,few_M_or_F,0,0,0,44,False,False,0
AG-14361,breast,0,5,few_M_or_F,0,0,0,44,False,False,0
AG-14361,central_nervous_system,3,0,few_M_or_F,0,0,0,44,False,False,0
AG-14361,endometrium,0,7,few_M_or_F,0,0,0,44,False,False,0
AG-14361,haematopoietic_and_lymphoid_tissue,5,1,few_M_or_F,0,0,0,44,False,False,0
AG-14361,kidney,1,0,few_M_or_F,0,0,0,44,False,False,0
AG-14361,large_intestine,8,5,gsea_empty,0,0,0,44,True,False,0
AG-14361,liver,3,0,few_M_or_F,0,0,0,44,False,False,0
AG-14361,lung,13,6,gsea_empty,0,0,0,44,True,False,0
AG-14361,ovary,0,13,few_M_or_F,0,0,0,44,False,False,0
AG-14361,pancreas,1,0,few_M_or_F,0,0,0,44,False,False,0
AG-14361,prostate,4,0,few_M_or_F,0,0,0,44,False,False,0
AG-14361,skin,3,4,few_M_or_F,0,0,0,44,False,False,0
AG-14361,soft_tissue,1,1,few_M_or_F,0,0,0,44,False,False,0
AG-14361,stomach,1,2,few_M_or_F,0,0,0,44,False,False,0
AG-14361,upper_aerodigestive_tract,1,0,few_M_or_F,0,0,0,44,False,False,0
AG-14361,urinary_tract,0,2,few_M_or_F,0,0,0,44,False,False,0
AM-580,bone,1,3,few_M_or_F,0,0,0,44,False,False,0
AM-580,breast,0,5,few_M_or_F,0,0,0,44,False,False,0
AM-580,central_nervous_system,3,0,few_M_or_F,0,0,0,44,False,False,0
AM-580,endometrium,0,7,few_M_or_F,0,0,0,44,False,False,0
AM-580,haematopoietic_and_lymphoid_tissue,5,1,few_M_or_F,0,0,0,44,False,False,0
AM-580,kidney,1,0,few_M_or_F,0,0,0,44,False,False,0
AM-580,large_intestine,8,5,gsea_empty,0,0,0,44,True,False,0
AM-580,liver,3,0,few_M_or_F,0,0,0,44,False,False,0
