drug,lineage,tissue,is_home_tissue,n_M,n_F,NES,FDR,sex_lean,category,skip_reason
selumetinib,bone,Adipose_Subcutaneous,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Adipose_Visceral_Omentum,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Adrenal_Gland,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Artery_Aorta,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Artery_Coronary,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Artery_Tibial,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Amygdala,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Anterior_cingulate_cortex_BA24,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Caudate_basal_ganglia,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Cerebellar_Hemisphere,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Cerebellum,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Cortex,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Frontal_Cortex_BA9,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Hippocampus,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Hypothalamus,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Nucleus_accumbens_basal_ganglia,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Putamen_basal_ganglia,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Spinal_cord_cervical_c.1,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Brain_Substantia_nigra,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Breast_Mammary_Tissue,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Cells_Cultured_fibroblasts,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Cells_EBV.transformed_lymphocytes,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Colon_Sigmoid,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Colon_Transverse,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Esophagus_Gastroesophageal_Junction,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Esophagus_Mucosa,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Esophagus_Muscularis,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Heart_Atrial_Appendage,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Heart_Left_Ventricle,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Kidney_Cortex,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Liver,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Lung,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Minor_Salivary_Gland,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Muscle_Skeletal,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Nerve_Tibial,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Pancreas,False,1,3,,,,D,few_M_or_F
selumetinib,bone,Pituitary,False,1,3,,,,D,few_M_or_F
