drug,lineage,tissue,is_home_tissue,n_M,n_F,NES,FDR,sex_lean,category,skip_reason
bortezomib,haematopoietic_and_lymphoid_tissue,Cells_EBV.transformed_lymphocytes,True,10,5,-1.776717444012444,0.013383297644539615,male,A,
bortezomib,haematopoietic_and_lymphoid_tissue,Brain_Caudate_basal_ganglia,False,10,5,-2.534957625636228,0.0,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Brain_Hypothalamus,False,10,5,-2.7234713073085635,0.0,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Brain_Nucleus_accumbens_basal_ganglia,False,10,5,-2.320536795276933,0.0,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Brain_Putamen_basal_ganglia,False,10,5,-2.4031256979695743,0.0,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Brain_Spinal_cord_cervical_c.1,False,10,5,-2.7294249271166544,0.0,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Brain_Substantia_nigra,False,10,5,-2.418557089764473,0.0,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Cells_Cultured_fibroblasts,False,10,5,-2.8053846708242225,0.0,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Esophagus_Mucosa,False,10,5,-2.5113898792257134,0.0,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Minor_Salivary_Gland,False,10,5,-2.3691292355154747,0.0,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Small_Intestine_Terminal_Ileum,False,10,5,-2.937769758063117,0.0,male,B,
emetine,lung,Brain_Spinal_cord_cervical_c.1,False,13,6,-2.520406708667838,0.0,male,B,
YM-155,lung,Brain_Caudate_basal_ganglia,False,10,6,-2.5272486145210165,0.0,male,B,
YM-155,lung,Brain_Hypothalamus,False,10,6,-2.5036821340338165,0.0,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Colon_Transverse,False,10,5,-2.2837611734706913,0.00019466614755693986,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Brain_Cortex,False,10,5,-2.1315641894392585,0.0023197715917201997,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Brain_Hippocampus,False,10,5,-2.002502256600563,0.0035688793718772305,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Artery_Coronary,False,10,5,-2.014474931966389,0.0036708473539308656,male,B,
bortezomib,haematopoietic_and_lymphoid_tissue,Breast_Mammary_Tissue,False,10,5,-1.956847264104765,0.003904773900995088,male,B,
