gene_id,male_mean,female_mean,difference,p_value,p_adj,gene_symbol,gene_title,gene_type
10,0.3745987,0.27541634,0.09918237,0.023923914934204597,0.043632209231428895,NAT2,N-acetyltransferase 2,protein-coding
100,0.60316837,0.8007403,-0.19757193,0.014273037572226723,0.027668325420206755,ADA,adenosine deaminase,protein-coding
1000,-0.1452856,-0.0030562044,-0.14222941,1.0400394718588248e-05,4.2758005960533824e-05,CDH2,cadherin 2,protein-coding
10000,0.33545828,0.14744991,0.18800837,0.0005737525653689601,0.0015791966121608705,AKT3,AKT serine/threonine kinase 3,protein-coding
10001,-0.09907212,-0.12225547,0.023183346,0.5181501924245377,0.6034154139627528,MED6,mediator complex subunit 6,protein-coding
10003,0.66541034,0.73806596,-0.07265562,0.052070473843008336,0.0860768993537657,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,protein-coding
10004,0.4939635,0.69574374,-0.20178023,1.8953003718048073e-07,1.1293022225040921e-06,NAALADL1,N-acetylated alpha-linked acidic dipeptidase like 1,protein-coding
10005,1.2518215,1.360876,-0.109054446,0.25638597331047064,0.33628325130029596,ACOT8,acyl-CoA thioesterase 8,protein-coding
10006,0.8874098,0.6991526,0.18825722,7.53892251614626e-05,0.000258669181127334,ABI1,abl interactor 1,protein-coding
10007,-2.2463713,-1.0502669,-1.1961044,3.4641096474650993e-39,2.5120908078793967e-36,GNPDA1,glucosamine-6-phosphate deaminase 1,protein-coding
10009,-0.17137767,-0.09674816,-0.074629515,0.07379245712210979,0.11662992453863712,ZBTB33,zinc finger and BTB domain containing 33,protein-coding
100093698,0.34744313,0.32375333,0.023689806,0.27796432099430024,0.3604443198924722,GS1-600G8.3,unknown transcript,ncRNA
1001,0.06607288,-0.0076649464,0.07373783,0.0007643250684180909,0.002045278802573958,CDH3,cadherin 3,protein-coding
10010,-0.2958997,-0.1992789,-0.09662078,0.008612442615408276,0.01771045747502139,TANK,TRAF family member associated NFKB activator,protein-coding
100126791,0.2162914,0.15843394,0.057857454,0.025124330065440625,0.04558244901350287,EGOT,eosinophil granule ontogeny transcript,ncRNA
100128640,0.7201367,0.70363015,0.016506553,0.5649395420495518,0.647987967471797,ACVR2B-AS1,ACVR2B antisense RNA 1,ncRNA
100129250,0.1688096,0.23646449,-0.06765489,0.08423738916078831,0.1307907473015363,SMIM27,small integral membrane protein 27,protein-coding
100129271,0.100347936,0.23676203,-0.1364141,0.001977156681189083,0.0047830430858907015,C1orf68,chromosome 1 open reading frame 68,protein-coding
100129460,-0.09584176,-0.12028417,0.024442412,0.37933191179583214,0.4665672761268102,DPY19L1P1,DPY19L1 pseudogene 1,pseudo
100129482,-0.14440024,0.07018763,-0.21458787,2.1177535584357186e-06,1.0099677318528256e-05,ZNF37BP,"zinc finger protein 37B, pseudogene",pseudo
10013,-0.003823232,0.7988951,-0.80271834,3.6361465881706294e-10,3.732424241379477e-09,HDAC6,histone deacetylase 6,protein-coding
100130331,0.13012816,0.19094642,-0.060818255,0.237912486597054,0.31588423637786556,LOC100130331,"POTE ankyrin domain family, member F pseudogene",pseudo
100130958,0.08820457,0.08644021,0.0017643571,0.6699579344185489,0.7404071192749324,SYCE1L,synaptonemal complex central element protein 1 like,protein-coding
100131755,0.4071927,0.44326472,-0.036072016,0.6043640918650937,0.6837922654655721,ARMCX4,armadillo repeat containing X-linked 4,protein-coding
100131825,0.005157626,0.048059724,-0.042902097,0.391796596437163,0.479601672215008,CADM3-AS1,CADM3 antisense RNA 1,ncRNA
100132341,0.69330484,0.7857481,-0.09244329,0.0028795760522624396,0.006679099533833608,CLUHP3,clustered mitochondria homolog pseudogene 3,pseudo
100132406,0.70103675,0.54684246,0.1541943,0.024759670289341243,0.04497380511669351,NBPF10,NBPF member 10,protein-coding
100132476,0.09373794,0.09737706,-0.0036391243,0.9761068118225742,0.9826656667118697,KRTAP4-7,keratin associated protein 4-7,protein-coding
100132923,0.36985582,0.35647908,0.013376743,0.9720749569975952,0.9800245395703593,FAM66D,family with sequence similarity 66 member D,ncRNA
100134713,-0.39221415,-0.409582,0.01736784,0.36482804899079635,0.45165697810389005,NDUFB2-AS1,NDUFB2 antisense RNA 1,ncRNA
100137047,0.2196605,0.14052981,0.079130694,0.05361309238818264,0.08823150486737626,JMJD7,jumonji domain containing 7,protein-coding
10014,1.4572333,1.4753221,-0.018088818,0.9622338877701203,0.9722497638250998,HDAC5,histone deacetylase 5,protein-coding
10015,-0.090137854,-0.31363395,0.2234961,9.723436374336745e-10,9.22790790014037e-09,PDCD6IP,programmed cell death 6 interacting protein,protein-coding
10016,0.9547676,0.61239,0.3423776,4.668491462311793e-09,3.865222481355257e-08,PDCD6,programmed cell death 6,protein-coding
10017,0.100184724,0.0761674,0.024017327,0.11151094103568102,0.16653020970174143,BCL2L10,BCL2 like 10,protein-coding
10018,0.012210969,-0.16070063,0.1729116,4.97354017187829e-09,4.093044274960985e-08,BCL2L11,BCL2 like 11,protein-coding
10019,0.62298125,0.58960146,0.033379793,0.4920630467031848,0.5789419011029645,SH2B3,SH2B adaptor protein 3,protein-coding
1002,0.40535933,0.6405296,-0.23517025,2.1439364713986346e-06,1.0208748095559044e-05,CDH4,cadherin 4,protein-coding
10020,-0.29199916,-0.40184915,0.10984999,0.18267511652624768,0.25286535330514054,GNE,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,protein-coding
10021,0.36579096,0.2936004,0.07219055,0.010015257970744004,0.02024731063682061,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4,protein-coding
10022,0.35207966,0.3285431,0.023536563,0.8161557519780327,0.8615831572516859,INSL5,insulin like 5,protein-coding
10023,0.51070184,0.21809833,0.2926035,1.2157184471185398e-10,1.3634102875395928e-09,FRAT1,FRAT regulator of WNT signaling pathway 1,protein-coding
10024,-1.3057771,-1.1392078,-0.16656923,2.4408668484908383e-05,9.221883698496799e-05,TROAP,trophinin associated protein,protein-coding
10025,-0.87074906,-0.8829137,0.012164652,0.61511348525164,0.6934722493079303,MED16,mediator complex subunit 16,protein-coding
10026,0.15678607,0.3000434,-0.14325733,0.019884778968468155,0.03708616567674363,PIGK,phosphatidylinositol glycan anchor biosynthesis class K,protein-coding
100272228,0.31906438,0.36974752,-0.05068314,0.46801827669518004,0.5566550231643203,LINC00894,long intergenic non-protein coding RNA 894,ncRNA
100287932,-0.49290565,-0.4548939,-0.03801176,0.07578536530327504,0.11930367034081088,TIMM23,translocase of inner mitochondrial membrane 23,protein-coding
100288413,-0.033629052,0.105198346,-0.1388274,0.004741871248666338,0.010379578969026743,ERVMER34-1,"endogenous retrovirus group MER34 member 1, envelope",protein-coding
100289678,-0.8422504,-0.69714695,-0.14510345,0.0058306038637346925,0.012492124510274816,ZNF783,zinc finger family member 783,protein-coding
1003,0.30268273,0.12007817,0.18260455,3.0507103765701086e-09,2.6135620237912647e-08,CDH5,cadherin 5,protein-coding
10036,-1.116689,-0.98620373,-0.13048524,0.028234783719683187,0.05054870951150949,CHAF1A,chromatin assembly factor 1 subunit A,protein-coding
10038,-2.0345428,-2.1530402,0.11849737,0.780779901437587,0.8336614087062683,PARP2,poly(ADP-ribose) polymerase 2,protein-coding
10039,-0.32483286,-0.25331226,-0.0715206,0.027771315603188067,0.049805757747469086,PARP3,poly(ADP-ribose) polymerase family member 3,protein-coding
1004,-0.218788,-0.0470928,-0.1716952,0.00021230001311317066,0.0006574314397536217,CDH6,cadherin 6,protein-coding
10040,-0.028898284,0.12652548,-0.15542376,0.00014986165840614538,0.00047924630994318035,TOM1L1,target of myb1 like 1 membrane trafficking protein,protein-coding
10042,-0.78094035,-0.86166716,0.0807268,0.514765751075346,0.6002111209485503,HMGXB4,HMG-box containing 4,protein-coding
